Label = (BF2),
new Point(0.469003 , 0.331536),
new Point(0.545822 , 0.404313),
new Point(0.541779 , 0.495957),
new Point(0.504043 , 0.566038),
new Point(0.440701 , 0.587601),
new Point(0.322102 , 0.592992),
new Point(0.250674 , 0.603774),
new Point(0.268194 , 0.610512),
new Point(0.397574 , 0.609164),
new Point(0.493261 , 0.618598),
new Point(0.533693 , 0.656334),
new Point(0.557952 , 0.733154),
new Point(0.529650 , 0.796496),
new Point(0.462264 , 0.840970),
new Point(0.347709 , 0.862534),
new Point(0.262803 , 0.849057),
new Point(0.234501 , 0.757412),
new Point(0.216981 , 0.636119),
new Point(0.223720 , 0.500000),
new Point(0.221024 , 0.412399),
new Point(0.223720 , 0.323450),
new Point(0.644205 , 0.328841),
new Point(0.854447 , 0.324798),
new Point(0.919137 , 0.363881),
new Point(0.966307 , 0.520216),
new Point(0.880054 , 0.611860),
new Point(0.730458 , 0.694070),
new Point(0.660377 , 0.795148),
new Point(0.611860 , 0.845013),
new Point(0.838275 , 0.850404),
new Point(0.933962 , 0.850404),
new Point(0.997305 , 0.847709),
new Point(0.332884 , 0.839623),
new Point(0.312668 , 0.816712),
new Point(0.314016 , 0.753369),
new Point(0.374663 , 0.684636),
new Point(0.405660 , 0.580863),
new Point(0.381402 , 0.506739),
new Point(0.339623 , 0.462264),
new Point(0.261456 , 0.408356),
new Point(0.192722 , 0.355795),
new Point(0.087601 , 0.214286),
new Point(0.083558 , 0.196765),
new Point(0.064690 , 0.145553),
new Point(0.030997 , 0.074124),
new Point(0.002695 , 0.035040),
